Zeros,Poles,k
(0.8358669306671629-0.6637900309623967j),0.0,-1.2807197654722074e-08
(0.8519191522611069-0.6422521086215983j),0.0,0.0
(0.867403361156235-0.6203137650749287j),0.0,0.0
(0.8823081618311932-0.5979891873180703j),0.0,0.0
(0.8966223313383828-0.575292801213119j),0.0,0.0
(0.9103347918345047-0.5522392576157774j),0.0,0.0
(0.9234345750281444-0.5288434166753969j),0.0,0.0
(0.935910776227666-0.5051203296720086j),0.0,0.0
(0.9477524948811171-0.48108521748528266j),0.0,0.0
(0.958948757290378-0.45675344439201643j),0.0,0.0
(0.9694884155331823-0.4321404852565612j),0.0,0.0
(0.979360014023681-0.40726188329005747j),0.0,0.0
(0.9885516113499645-0.3821331939728978j),0.0,0.0
(0.9970505390957622-0.35676990841661727j),0.0,0.0
(1.004843069901192-0.3311873454519883j),0.0,0.0
(1.0119139515729827-0.3054004950964506j),0.0,0.0
(1.0182457378053398-0.27942378450166333j),0.0,0.0
(1.023817799708282-0.2532707168431642j),0.0,0.0
(1.0286048161186852-0.22695329571040912j),0.0,0.0
(1.0325743698463568-0.2004810759325408j),0.0,0.0
(1.0356829085041253-0.17385954458265496j),0.0,0.0
(1.0378684297561074-0.14708727802149119j),0.0,0.0
(1.0390356028347902-0.12015088711339345j),0.0,0.0
(1.0390185857429814-0.09301609585686142j),0.0,0.0
(1.0374466255404418-0.06560368111122938j),0.0,0.0
(1.0330374417255006-0.03742304474364113j),0.0,0.0
1.0237343709161015,0.0,0.0
(1.0330374417254962+0.03742304474364317j),0.0,0.0
(1.0374466255404402+0.06560368111124043j),0.0,0.0
(1.039018585742969+0.0930160958568762j),0.0,0.0
(1.0390356028348202+0.12015088711340355j),0.0,0.0
(0.9477524948816122+0.4810852174870069j),0.0,0.0
(1.0378684297561782+0.14708727802148044j),0.0,0.0
(1.0356829085040986+0.17385954458248506j),0.0,0.0
(0.9589487572892262+0.45675344439296706j),0.0,0.0
(1.0325743698461354+0.20048107593244385j),0.0,0.0
(0.9694884155316207+0.43214048525661214j),0.0,0.0
(0.9793600140229146+0.4072618832888955j),0.0,0.0
(1.0286048161182368+0.2269532957105785j),0.0,0.0
(1.0238177997081817+0.2532707168440277j),0.0,0.0
(1.0182457378062857+0.2794237845021976j),0.0,0.0
(1.011913951573752+0.3054004950959983j),0.0,0.0
(1.0048430699014277+0.33118734545148837j),0.0,0.0
(0.9234345750266344+0.528843416675612j),0.0,0.0
(0.9359107762285356+0.5051203296712233j),0.0,0.0
(0.9885516113499827+0.38213319397202594j),0.0,0.0
(0.9970505390960741+0.35676990841610157j),0.0,0.0
(0.8192582855762027-0.6849135964395523j),0.0,0.0
(0.8021050158931767-0.7056091321174807j),0.0,0.0
(0.7844191421518814-0.7258632383359651j),0.0,0.0
(0.7662129151396917-0.7456627985914697j),0.0,0.0
(0.7474988218121528-0.7649949888414848j),0.0,0.0
(0.7282895889305728-0.7838472863305558j),0.0,0.0
(0.6884378196176668-0.8200636687249754j),0.0,0.0
(0.7085981848294012-0.8022074780351224j),0.0,0.0
0.9768158893650718,0.0,0.0
(0.9667504200769588-0.03502171631461071j),0.0,0.0
(0.9600659406958387-0.06071045803088551j),0.0,0.0
(0.9667504200769608+0.035021716314609486j),0.0,0.0
(0.6678219440138194-0.8374042887042765j),0.0,0.0
(0.6467642470441951-0.8542181012582072j),0.0,0.0
(0.5810806179766385-0.9013914706610551j),0.0,0.0
(0.6252786527520994-0.870494209829543j),0.0,0.0
(0.6033793160811762-0.8862220649134078j),0.0,0.0
(0.9103347918341189+0.5522392576180288j),0.0,0.0
(0.8966223313406213+0.5752928012156044j),0.0,0.0
(0.8823081618350165+0.5979891873175119j),0.0,0.0
(0.8674033611578387+0.6203137650729424j),0.0,0.0
(0.8519191522640536+0.6422521086197543j),0.0,0.0
(0.8358669306693388+0.6637900309562509j),0.0,0.0
(0.9600659406958347+0.06071045803088658j),0.0,0.0
(0.9547946105709102+0.08547611008992657j),0.0,0.0
(0.9497312180761492+0.1098240022379974j),0.0,0.0
(0.9547946105709075-0.08547611008992101j),0.0,0.0
(0.9497312180761537-0.10982400223799708j),0.0,0.0
(0.9445424030028191-0.13386106278051538j),0.0,0.0
(0.9390829839673326-0.15764336610876412j),0.0,0.0
(0.9332719134129654-0.18120085371340627j),0.0,0.0
(0.9270588116049603-0.20454799483163774j),0.0,0.0
(0.9204106374551756-0.22768998742261215j),0.0,0.0
(0.558397159808809-0.9159925912771492j),0.0,0.0
(0.5353437572699552-0.9300159571933028j),0.0,0.0
(0.5119354337726076-0.9434524709195923j),0.0,0.0
(0.4881874133202009-0.9562934126818476j),0.0,0.0
(0.46411511301773567-0.9685304458354301j),0.0,0.0
(0.4397341352098412-0.9801556220076186j),0.0,0.0
(0.8192582855725029+0.6849135964306505j),0.0,0.0
(0.8021050158819563+0.7056091321132689j),0.0,0.0
(0.7844191421400394+0.725863238340646j),0.0,0.0
(0.7662129151326159+0.7456627986024671j),0.0,0.0
(0.7474988218118699+0.7649949888556803j),0.0,0.0
(0.9133051217419759-0.25062631155443704j),0.0,0.0
(0.9057271298225364-0.27335280182684973j),0.0,0.0
(0.8976664907979232-0.29586289749446554j),0.0,0.0
(0.8891166302577792-0.3181484250901586j),0.0,0.0
(0.8800736722175841-0.3402001063314658j),0.0,0.0
(0.9445424030028142+0.13386106278051454j),0.0,0.0
(0.9390829839673349+0.15764336610875448j),0.0,0.0
(0.9332719134129726+0.18120085371342756j),0.0,0.0
(0.9270588116049382+0.20454799483163014j),0.0,0.0
(0.7282895889397604+0.7838472863443806j),0.0,0.0
(0.7085981848466967+0.8022074780404366j),0.0,0.0
(0.6884378196358812+0.8200636687190122j),0.0,0.0
(0.2617698975577806-1.043815882075857j),0.0,0.0
(0.4150602592743976-0.9911613859887027j),0.0,0.0
(0.3394415114623855-1.020392646295084j),0.0,0.0
(0.3901094331085162-1.0015405803940396j),0.0,0.0
(0.3648977643683927-1.0112864500842682j),0.0,0.0
(0.9204106374551869+0.22768998742259236j),0.0,0.0
(0.9133051217419862+0.2506263115544587j),0.0,0.0
(0.9057271298225003+0.27335280182682936j),0.0,0.0
(0.8976664907979548+0.29586289749446987j),0.0,0.0
(0.8891166302577774+0.31814842509017055j),0.0,0.0
(0.8705358285898137-0.36200789898037594j),0.0,0.0
(0.8605029718542672-0.38356123277363285j),0.0,0.0
(0.8499763282941797-0.40484917744489674j),0.0,0.0
(0.8389582527923227-0.4258605655880116j),0.0,0.0
(0.8274520601306069-0.4465840847406153j),0.0,0.0
(0.8154618962549633-0.4670083480145869j),0.0,0.0
(0.8029926383312409-0.4871219494631936j),0.0,0.0
(0.7766395475698908-0.5263717054643412j),0.0,0.0
(0.7900498158800628-0.5069135083849501j),0.0,0.0
(0.6678219440254692+0.8374042886860563j),0.0,0.0
(0.3137570742987348-1.0288532305450016j),0.0,0.0
(0.28786098486865586-1.0366626782493022j),0.0,0.0
(0.8800736722175775+0.34020010633147096j),0.0,0.0
(0.7484437941983385-0.5642432192465736j),0.0,0.0
(0.7627684897916793-0.5454853127957876j),0.0,0.0
(0.6467642470397029+0.8542181012366977j),0.0,0.0
(0.6252786527363061+0.8704942098179701j),0.0,0.0
(0.15579238894389558-1.065778885022878j),0.0,0.0
(0.23550057934771246-1.0503081551378495j),0.0,0.0
(0.20906989993172614-1.0561352338171375j),0.0,0.0
(0.18249482158371882-1.0612932803201012j),0.0,0.0
(0.8705358285898008+0.3620078989803818j),0.0,0.0
